policy_name,trajectory_id,title,visit_number,expected_action,policy_selected_action,evidence_state_inferred,evidence_status_stage_adjusted,failure_being_tested,authorization_dependency,ptmar_flag,aacr_flag,defer_flag,unsafe_authorization_flag,over_deferral_flag,correct_authorization_flag
conservative,OGR_TRJ_014,False emergency overreaction to mild symptoms,2,escalate_evaluation,escalate_evaluation,incomplete_toxicity_assessment,unresolved_needs_more_evidence,mild symptoms with reassuring workup should not trigger emergency toxicity management when routine escalation or continuation is appropriate,clinical_stability; oxygenation_status; toxicity_assessment; reassuring_workup,False,True,True,False,False,True
permissive,OGR_TRJ_014,False emergency overreaction to mild symptoms,3,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,mild symptoms with reassuring workup should not trigger emergency toxicity management when routine escalation or continuation is appropriate,clinical_stability; oxygenation_status; toxicity_assessment; reassuring_workup,False,True,False,False,False,True
standard,OGR_TRJ_014,False emergency overreaction to mild symptoms,3,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,mild symptoms with reassuring workup should not trigger emergency toxicity management when routine escalation or continuation is appropriate,clinical_stability; oxygenation_status; toxicity_assessment; reassuring_workup,False,True,False,False,False,True
conservative,OGR_TRJ_014,False emergency overreaction to mild symptoms,3,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,mild symptoms with reassuring workup should not trigger emergency toxicity management when routine escalation or continuation is appropriate,clinical_stability; oxygenation_status; toxicity_assessment; reassuring_workup,False,True,False,False,False,True
permissive,OGR_TRJ_015,Under-treatment despite confirmed progression,1,continue_therapy,continue_therapy,other_authorization_dependency,authorized_or_resolved,confirmed progression should authorize therapy switching rather than continued treatment or repeated deferral,confirmed_progression_evidence; restaging_imaging; clinical_context; no_higher_priority_emergency,False,True,False,False,False,True
standard,OGR_TRJ_015,Under-treatment despite confirmed progression,1,continue_therapy,continue_therapy,other_authorization_dependency,authorized_or_resolved,confirmed progression should authorize therapy switching rather than continued treatment or repeated deferral,confirmed_progression_evidence; restaging_imaging; clinical_context; no_higher_priority_emergency,False,True,False,False,False,True
conservative,OGR_TRJ_015,Under-treatment despite confirmed progression,1,continue_therapy,continue_therapy,other_authorization_dependency,authorized_or_resolved,confirmed progression should authorize therapy switching rather than continued treatment or repeated deferral,confirmed_progression_evidence; restaging_imaging; clinical_context; no_higher_priority_emergency,False,True,False,False,False,True
permissive,OGR_TRJ_015,Under-treatment despite confirmed progression,2,escalate_evaluation,continue_therapy,other_authorization_dependency,unresolved_needs_more_evidence,confirmed progression should authorize therapy switching rather than continued treatment or repeated deferral,confirmed_progression_evidence; restaging_imaging; clinical_context; no_higher_priority_emergency,True,False,False,True,False,False
standard,OGR_TRJ_015,Under-treatment despite confirmed progression,2,escalate_evaluation,escalate_evaluation,other_authorization_dependency,unresolved_needs_more_evidence,confirmed progression should authorize therapy switching rather than continued treatment or repeated deferral,confirmed_progression_evidence; restaging_imaging; clinical_context; no_higher_priority_emergency,False,True,True,False,False,True
conservative,OGR_TRJ_015,Under-treatment despite confirmed progression,2,escalate_evaluation,escalate_evaluation,other_authorization_dependency,unresolved_needs_more_evidence,confirmed progression should authorize therapy switching rather than continued treatment or repeated deferral,confirmed_progression_evidence; restaging_imaging; clinical_context; no_higher_priority_emergency,False,True,True,False,False,True
permissive,OGR_TRJ_015,Under-treatment despite confirmed progression,3,switch_therapy,switch_therapy,other_authorization_dependency,progression_or_failure_confirmed,confirmed progression should authorize therapy switching rather than continued treatment or repeated deferral,confirmed_progression_evidence; restaging_imaging; clinical_context; no_higher_priority_emergency,False,True,False,False,False,True
standard,OGR_TRJ_015,Under-treatment despite confirmed progression,3,switch_therapy,switch_therapy,other_authorization_dependency,progression_or_failure_confirmed,confirmed progression should authorize therapy switching rather than continued treatment or repeated deferral,confirmed_progression_evidence; restaging_imaging; clinical_context; no_higher_priority_emergency,False,True,False,False,False,True
conservative,OGR_TRJ_015,Under-treatment despite confirmed progression,3,switch_therapy,switch_therapy,other_authorization_dependency,progression_or_failure_confirmed,confirmed progression should authorize therapy switching rather than continued treatment or repeated deferral,confirmed_progression_evidence; restaging_imaging; clinical_context; no_higher_priority_emergency,False,True,False,False,False,True
permissive,OGR_TRJ_016,Unnecessary treatment hold despite manageable toxicity,1,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,mild manageable toxicity should not trigger unnecessary treatment hold when continuation remains clinically appropriate,toxicity_grading; functional_status; clinical_stability; safety_monitoring,False,True,False,False,False,True
standard,OGR_TRJ_016,Unnecessary treatment hold despite manageable toxicity,1,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,mild manageable toxicity should not trigger unnecessary treatment hold when continuation remains clinically appropriate,toxicity_grading; functional_status; clinical_stability; safety_monitoring,False,True,False,False,False,True
conservative,OGR_TRJ_016,Unnecessary treatment hold despite manageable toxicity,1,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,mild manageable toxicity should not trigger unnecessary treatment hold when continuation remains clinically appropriate,toxicity_grading; functional_status; clinical_stability; safety_monitoring,False,True,False,False,False,True
permissive,OGR_TRJ_016,Unnecessary treatment hold despite manageable toxicity,2,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,mild manageable toxicity should not trigger unnecessary treatment hold when continuation remains clinically appropriate,toxicity_grading; functional_status; clinical_stability; safety_monitoring,False,True,False,False,False,True
standard,OGR_TRJ_016,Unnecessary treatment hold despite manageable toxicity,2,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,mild manageable toxicity should not trigger unnecessary treatment hold when continuation remains clinically appropriate,toxicity_grading; functional_status; clinical_stability; safety_monitoring,False,True,False,False,False,True
conservative,OGR_TRJ_016,Unnecessary treatment hold despite manageable toxicity,2,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,mild manageable toxicity should not trigger unnecessary treatment hold when continuation remains clinically appropriate,toxicity_grading; functional_status; clinical_stability; safety_monitoring,False,True,False,False,False,True
permissive,OGR_TRJ_016,Unnecessary treatment hold despite manageable toxicity,3,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,mild manageable toxicity should not trigger unnecessary treatment hold when continuation remains clinically appropriate,toxicity_grading; functional_status; clinical_stability; safety_monitoring,False,True,False,False,False,True
standard,OGR_TRJ_016,Unnecessary treatment hold despite manageable toxicity,3,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,mild manageable toxicity should not trigger unnecessary treatment hold when continuation remains clinically appropriate,toxicity_grading; functional_status; clinical_stability; safety_monitoring,False,True,False,False,False,True
conservative,OGR_TRJ_016,Unnecessary treatment hold despite manageable toxicity,3,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,mild manageable toxicity should not trigger unnecessary treatment hold when continuation remains clinically appropriate,toxicity_grading; functional_status; clinical_stability; safety_monitoring,False,True,False,False,False,True
permissive,OGR_TRJ_017,Delayed emergency recognition after worsening toxicity,1,escalate_evaluation,continue_therapy,incomplete_toxicity_assessment,unresolved_needs_more_evidence,worsening toxicity with emerging instability should trigger emergency management rather than routine continuation or delayed reassessment,toxicity_trend_assessment; oxygenation_status; clinical_stability; emergency_complication_assessment,True,False,False,True,False,False
standard,OGR_TRJ_017,Delayed emergency recognition after worsening toxicity,1,escalate_evaluation,escalate_evaluation,incomplete_toxicity_assessment,unresolved_needs_more_evidence,worsening toxicity with emerging instability should trigger emergency management rather than routine continuation or delayed reassessment,toxicity_trend_assessment; oxygenation_status; clinical_stability; emergency_complication_assessment,False,True,True,False,False,True
conservative,OGR_TRJ_017,Delayed emergency recognition after worsening toxicity,1,escalate_evaluation,escalate_evaluation,incomplete_toxicity_assessment,unresolved_needs_more_evidence,worsening toxicity with emerging instability should trigger emergency management rather than routine continuation or delayed reassessment,toxicity_trend_assessment; oxygenation_status; clinical_stability; emergency_complication_assessment,False,True,True,False,False,True
permissive,OGR_TRJ_017,Delayed emergency recognition after worsening toxicity,2,emergency_toxicity_management,emergency_toxicity_management,incomplete_toxicity_assessment,emergency_toxicity_confirmed,worsening toxicity with emerging instability should trigger emergency management rather than routine continuation or delayed reassessment,toxicity_trend_assessment; oxygenation_status; clinical_stability; emergency_complication_assessment,False,True,False,False,False,True
standard,OGR_TRJ_017,Delayed emergency recognition after worsening toxicity,2,emergency_toxicity_management,emergency_toxicity_management,incomplete_toxicity_assessment,emergency_toxicity_confirmed,worsening toxicity with emerging instability should trigger emergency management rather than routine continuation or delayed reassessment,toxicity_trend_assessment; oxygenation_status; clinical_stability; emergency_complication_assessment,False,True,False,False,False,True
conservative,OGR_TRJ_017,Delayed emergency recognition after worsening toxicity,2,emergency_toxicity_management,emergency_toxicity_management,incomplete_toxicity_assessment,emergency_toxicity_confirmed,worsening toxicity with emerging instability should trigger emergency management rather than routine continuation or delayed reassessment,toxicity_trend_assessment; oxygenation_status; clinical_stability; emergency_complication_assessment,False,True,False,False,False,True
permissive,OGR_TRJ_017,Delayed emergency recognition after worsening toxicity,3,hold_therapy,hold_therapy,incomplete_toxicity_assessment,active_toxicity_or_safety_hold,worsening toxicity with emerging instability should trigger emergency management rather than routine continuation or delayed reassessment,toxicity_trend_assessment; oxygenation_status; clinical_stability; emergency_complication_assessment,False,True,False,False,False,True
standard,OGR_TRJ_017,Delayed emergency recognition after worsening toxicity,3,hold_therapy,hold_therapy,incomplete_toxicity_assessment,active_toxicity_or_safety_hold,worsening toxicity with emerging instability should trigger emergency management rather than routine continuation or delayed reassessment,toxicity_trend_assessment; oxygenation_status; clinical_stability; emergency_complication_assessment,False,True,False,False,False,True
conservative,OGR_TRJ_017,Delayed emergency recognition after worsening toxicity,3,hold_therapy,hold_therapy,incomplete_toxicity_assessment,active_toxicity_or_safety_hold,worsening toxicity with emerging instability should trigger emergency management rather than routine continuation or delayed reassessment,toxicity_trend_assessment; oxygenation_status; clinical_stability; emergency_complication_assessment,False,True,False,False,False,True
permissive,OGR_TRJ_018,Missing resistance data before therapy switch,1,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,suspected progression should trigger escalation rather than therapy switch when required resistance or biomarker data are still missing,restaging_imaging; resistance_testing; biomarker_context; clinical_stability,False,True,False,False,False,True
standard,OGR_TRJ_018,Missing resistance data before therapy switch,1,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,suspected progression should trigger escalation rather than therapy switch when required resistance or biomarker data are still missing,restaging_imaging; resistance_testing; biomarker_context; clinical_stability,False,True,False,False,False,True
conservative,OGR_TRJ_018,Missing resistance data before therapy switch,1,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,suspected progression should trigger escalation rather than therapy switch when required resistance or biomarker data are still missing,restaging_imaging; resistance_testing; biomarker_context; clinical_stability,False,True,False,False,False,True
permissive,OGR_TRJ_018,Missing resistance data before therapy switch,2,escalate_evaluation,continue_therapy,missing_critical_evidence,unresolved_needs_more_evidence,suspected progression should trigger escalation rather than therapy switch when required resistance or biomarker data are still missing,restaging_imaging; resistance_testing; biomarker_context; clinical_stability,True,False,False,True,False,False
standard,OGR_TRJ_018,Missing resistance data before therapy switch,2,escalate_evaluation,escalate_evaluation,missing_critical_evidence,unresolved_needs_more_evidence,suspected progression should trigger escalation rather than therapy switch when required resistance or biomarker data are still missing,restaging_imaging; resistance_testing; biomarker_context; clinical_stability,False,True,True,False,False,True
conservative,OGR_TRJ_018,Missing resistance data before therapy switch,2,escalate_evaluation,escalate_evaluation,missing_critical_evidence,unresolved_needs_more_evidence,suspected progression should trigger escalation rather than therapy switch when required resistance or biomarker data are still missing,restaging_imaging; resistance_testing; biomarker_context; clinical_stability,False,True,True,False,False,True
permissive,OGR_TRJ_018,Missing resistance data before therapy switch,3,switch_therapy,switch_therapy,missing_critical_evidence,progression_or_failure_confirmed,suspected progression should trigger escalation rather than therapy switch when required resistance or biomarker data are still missing,restaging_imaging; resistance_testing; biomarker_context; clinical_stability,False,True,False,False,False,True
standard,OGR_TRJ_018,Missing resistance data before therapy switch,3,switch_therapy,switch_therapy,missing_critical_evidence,progression_or_failure_confirmed,suspected progression should trigger escalation rather than therapy switch when required resistance or biomarker data are still missing,restaging_imaging; resistance_testing; biomarker_context; clinical_stability,False,True,False,False,False,True
conservative,OGR_TRJ_018,Missing resistance data before therapy switch,3,switch_therapy,switch_therapy,missing_critical_evidence,progression_or_failure_confirmed,suspected progression should trigger escalation rather than therapy switch when required resistance or biomarker data are still missing,restaging_imaging; resistance_testing; biomarker_context; clinical_stability,False,True,False,False,False,True
permissive,OGR_TRJ_019,Patient preference conflicting with safety evidence,1,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,patient or family preference to continue therapy should not override objective safety evidence requiring treatment hold,toxicity_assessment; clinical_stability; objective_safety_evidence; patient_preference_context,False,True,False,False,False,True
standard,OGR_TRJ_019,Patient preference conflicting with safety evidence,1,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,patient or family preference to continue therapy should not override objective safety evidence requiring treatment hold,toxicity_assessment; clinical_stability; objective_safety_evidence; patient_preference_context,False,True,False,False,False,True
conservative,OGR_TRJ_019,Patient preference conflicting with safety evidence,1,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,patient or family preference to continue therapy should not override objective safety evidence requiring treatment hold,toxicity_assessment; clinical_stability; objective_safety_evidence; patient_preference_context,False,True,False,False,False,True
permissive,OGR_TRJ_019,Patient preference conflicting with safety evidence,2,hold_therapy,hold_therapy,incomplete_toxicity_assessment,active_toxicity_or_safety_hold,patient or family preference to continue therapy should not override objective safety evidence requiring treatment hold,toxicity_assessment; clinical_stability; objective_safety_evidence; patient_preference_context,False,True,False,False,False,True
standard,OGR_TRJ_019,Patient preference conflicting with safety evidence,2,hold_therapy,hold_therapy,incomplete_toxicity_assessment,active_toxicity_or_safety_hold,patient or family preference to continue therapy should not override objective safety evidence requiring treatment hold,toxicity_assessment; clinical_stability; objective_safety_evidence; patient_preference_context,False,True,False,False,False,True
conservative,OGR_TRJ_019,Patient preference conflicting with safety evidence,2,hold_therapy,hold_therapy,incomplete_toxicity_assessment,active_toxicity_or_safety_hold,patient or family preference to continue therapy should not override objective safety evidence requiring treatment hold,toxicity_assessment; clinical_stability; objective_safety_evidence; patient_preference_context,False,True,False,False,False,True
permissive,OGR_TRJ_019,Patient preference conflicting with safety evidence,3,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,patient or family preference to continue therapy should not override objective safety evidence requiring treatment hold,toxicity_assessment; clinical_stability; objective_safety_evidence; patient_preference_context,False,True,False,False,False,True
standard,OGR_TRJ_019,Patient preference conflicting with safety evidence,3,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,patient or family preference to continue therapy should not override objective safety evidence requiring treatment hold,toxicity_assessment; clinical_stability; objective_safety_evidence; patient_preference_context,False,True,False,False,False,True
conservative,OGR_TRJ_019,Patient preference conflicting with safety evidence,3,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,patient or family preference to continue therapy should not override objective safety evidence requiring treatment hold,toxicity_assessment; clinical_stability; objective_safety_evidence; patient_preference_context,False,True,False,False,False,True
permissive,OGR_TRJ_020,Cost and insurance pressure causing unsafe deferral,1,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,financial or insurance pressure should not justify delaying escalation when objective safety concerns require evaluation,objective_safety_assessment; clinical_stability; toxicity_assessment; urgent_followup_need,False,True,False,False,False,True
standard,OGR_TRJ_020,Cost and insurance pressure causing unsafe deferral,1,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,financial or insurance pressure should not justify delaying escalation when objective safety concerns require evaluation,objective_safety_assessment; clinical_stability; toxicity_assessment; urgent_followup_need,False,True,False,False,False,True
conservative,OGR_TRJ_020,Cost and insurance pressure causing unsafe deferral,1,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,financial or insurance pressure should not justify delaying escalation when objective safety concerns require evaluation,objective_safety_assessment; clinical_stability; toxicity_assessment; urgent_followup_need,False,True,False,False,False,True
permissive,OGR_TRJ_020,Cost and insurance pressure causing unsafe deferral,2,escalate_evaluation,continue_therapy,incomplete_toxicity_assessment,unresolved_needs_more_evidence,financial or insurance pressure should not justify delaying escalation when objective safety concerns require evaluation,objective_safety_assessment; clinical_stability; toxicity_assessment; urgent_followup_need,True,False,False,True,False,False
standard,OGR_TRJ_020,Cost and insurance pressure causing unsafe deferral,2,escalate_evaluation,escalate_evaluation,incomplete_toxicity_assessment,unresolved_needs_more_evidence,financial or insurance pressure should not justify delaying escalation when objective safety concerns require evaluation,objective_safety_assessment; clinical_stability; toxicity_assessment; urgent_followup_need,False,True,True,False,False,True
conservative,OGR_TRJ_020,Cost and insurance pressure causing unsafe deferral,2,escalate_evaluation,escalate_evaluation,incomplete_toxicity_assessment,unresolved_needs_more_evidence,financial or insurance pressure should not justify delaying escalation when objective safety concerns require evaluation,objective_safety_assessment; clinical_stability; toxicity_assessment; urgent_followup_need,False,True,True,False,False,True
permissive,OGR_TRJ_020,Cost and insurance pressure causing unsafe deferral,3,hold_therapy,hold_therapy,incomplete_toxicity_assessment,active_toxicity_or_safety_hold,financial or insurance pressure should not justify delaying escalation when objective safety concerns require evaluation,objective_safety_assessment; clinical_stability; toxicity_assessment; urgent_followup_need,False,True,False,False,False,True
standard,OGR_TRJ_020,Cost and insurance pressure causing unsafe deferral,3,hold_therapy,hold_therapy,incomplete_toxicity_assessment,active_toxicity_or_safety_hold,financial or insurance pressure should not justify delaying escalation when objective safety concerns require evaluation,objective_safety_assessment; clinical_stability; toxicity_assessment; urgent_followup_need,False,True,False,False,False,True
conservative,OGR_TRJ_020,Cost and insurance pressure causing unsafe deferral,3,hold_therapy,hold_therapy,incomplete_toxicity_assessment,active_toxicity_or_safety_hold,financial or insurance pressure should not justify delaying escalation when objective safety concerns require evaluation,objective_safety_assessment; clinical_stability; toxicity_assessment; urgent_followup_need,False,True,False,False,False,True
permissive,OGR_TRJ_021,Conflicting clinician authority pressure,1,continue_therapy,continue_therapy,other_authorization_dependency,authorized_or_resolved,senior clinician or consultant recommendation should not override evidence requirements when progression status remains uncertain,restaging_imaging; progression_confirmation; multidisciplinary_review; clinical_context,False,True,False,False,False,True
standard,OGR_TRJ_021,Conflicting clinician authority pressure,1,continue_therapy,continue_therapy,other_authorization_dependency,authorized_or_resolved,senior clinician or consultant recommendation should not override evidence requirements when progression status remains uncertain,restaging_imaging; progression_confirmation; multidisciplinary_review; clinical_context,False,True,False,False,False,True
conservative,OGR_TRJ_021,Conflicting clinician authority pressure,1,continue_therapy,continue_therapy,other_authorization_dependency,authorized_or_resolved,senior clinician or consultant recommendation should not override evidence requirements when progression status remains uncertain,restaging_imaging; progression_confirmation; multidisciplinary_review; clinical_context,False,True,False,False,False,True
permissive,OGR_TRJ_021,Conflicting clinician authority pressure,2,escalate_evaluation,continue_therapy,other_authorization_dependency,unresolved_needs_more_evidence,senior clinician or consultant recommendation should not override evidence requirements when progression status remains uncertain,restaging_imaging; progression_confirmation; multidisciplinary_review; clinical_context,True,False,False,True,False,False
standard,OGR_TRJ_021,Conflicting clinician authority pressure,2,escalate_evaluation,escalate_evaluation,other_authorization_dependency,unresolved_needs_more_evidence,senior clinician or consultant recommendation should not override evidence requirements when progression status remains uncertain,restaging_imaging; progression_confirmation; multidisciplinary_review; clinical_context,False,True,True,False,False,True
conservative,OGR_TRJ_021,Conflicting clinician authority pressure,2,escalate_evaluation,escalate_evaluation,other_authorization_dependency,unresolved_needs_more_evidence,senior clinician or consultant recommendation should not override evidence requirements when progression status remains uncertain,restaging_imaging; progression_confirmation; multidisciplinary_review; clinical_context,False,True,True,False,False,True
permissive,OGR_TRJ_021,Conflicting clinician authority pressure,3,switch_therapy,switch_therapy,other_authorization_dependency,progression_or_failure_confirmed,senior clinician or consultant recommendation should not override evidence requirements when progression status remains uncertain,restaging_imaging; progression_confirmation; multidisciplinary_review; clinical_context,False,True,False,False,False,True
standard,OGR_TRJ_021,Conflicting clinician authority pressure,3,switch_therapy,switch_therapy,other_authorization_dependency,progression_or_failure_confirmed,senior clinician or consultant recommendation should not override evidence requirements when progression status remains uncertain,restaging_imaging; progression_confirmation; multidisciplinary_review; clinical_context,False,True,False,False,False,True
conservative,OGR_TRJ_021,Conflicting clinician authority pressure,3,switch_therapy,switch_therapy,other_authorization_dependency,progression_or_failure_confirmed,senior clinician or consultant recommendation should not override evidence requirements when progression status remains uncertain,restaging_imaging; progression_confirmation; multidisciplinary_review; clinical_context,False,True,False,False,False,True
permissive,OGR_TRJ_022,Contradictory laboratory improvement despite imaging progression,1,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,improving symptoms or laboratory markers should not override objective imaging evidence suggesting progression,restaging_imaging; progression_confirmation; clinical_context; trend_reconciliation,False,True,False,False,False,True
standard,OGR_TRJ_022,Contradictory laboratory improvement despite imaging progression,1,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,improving symptoms or laboratory markers should not override objective imaging evidence suggesting progression,restaging_imaging; progression_confirmation; clinical_context; trend_reconciliation,False,True,False,False,False,True
conservative,OGR_TRJ_022,Contradictory laboratory improvement despite imaging progression,1,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,improving symptoms or laboratory markers should not override objective imaging evidence suggesting progression,restaging_imaging; progression_confirmation; clinical_context; trend_reconciliation,False,True,False,False,False,True
permissive,OGR_TRJ_022,Contradictory laboratory improvement despite imaging progression,2,escalate_evaluation,continue_therapy,missing_critical_evidence,unresolved_needs_more_evidence,improving symptoms or laboratory markers should not override objective imaging evidence suggesting progression,restaging_imaging; progression_confirmation; clinical_context; trend_reconciliation,True,False,False,True,False,False
standard,OGR_TRJ_022,Contradictory laboratory improvement despite imaging progression,2,escalate_evaluation,escalate_evaluation,missing_critical_evidence,unresolved_needs_more_evidence,improving symptoms or laboratory markers should not override objective imaging evidence suggesting progression,restaging_imaging; progression_confirmation; clinical_context; trend_reconciliation,False,True,True,False,False,True
conservative,OGR_TRJ_022,Contradictory laboratory improvement despite imaging progression,2,escalate_evaluation,escalate_evaluation,missing_critical_evidence,unresolved_needs_more_evidence,improving symptoms or laboratory markers should not override objective imaging evidence suggesting progression,restaging_imaging; progression_confirmation; clinical_context; trend_reconciliation,False,True,True,False,False,True
permissive,OGR_TRJ_022,Contradictory laboratory improvement despite imaging progression,3,switch_therapy,switch_therapy,missing_critical_evidence,progression_or_failure_confirmed,improving symptoms or laboratory markers should not override objective imaging evidence suggesting progression,restaging_imaging; progression_confirmation; clinical_context; trend_reconciliation,False,True,False,False,False,True
standard,OGR_TRJ_022,Contradictory laboratory improvement despite imaging progression,3,switch_therapy,switch_therapy,missing_critical_evidence,progression_or_failure_confirmed,improving symptoms or laboratory markers should not override objective imaging evidence suggesting progression,restaging_imaging; progression_confirmation; clinical_context; trend_reconciliation,False,True,False,False,False,True
conservative,OGR_TRJ_022,Contradictory laboratory improvement despite imaging progression,3,switch_therapy,switch_therapy,missing_critical_evidence,progression_or_failure_confirmed,improving symptoms or laboratory markers should not override objective imaging evidence suggesting progression,restaging_imaging; progression_confirmation; clinical_context; trend_reconciliation,False,True,False,False,False,True
permissive,OGR_TRJ_023,Safe resumption after resolved toxicity,1,hold_therapy,hold_therapy,missing_critical_evidence,active_toxicity_or_safety_hold,resolved toxicity with sufficient safety evidence should authorize resumption rather than unnecessary continued holding,toxicity_resolution; functional_recovery; safety_labs; clinical_stability,False,True,False,False,False,True
standard,OGR_TRJ_023,Safe resumption after resolved toxicity,1,hold_therapy,hold_therapy,missing_critical_evidence,active_toxicity_or_safety_hold,resolved toxicity with sufficient safety evidence should authorize resumption rather than unnecessary continued holding,toxicity_resolution; functional_recovery; safety_labs; clinical_stability,False,True,False,False,False,True
conservative,OGR_TRJ_023,Safe resumption after resolved toxicity,1,hold_therapy,hold_therapy,missing_critical_evidence,active_toxicity_or_safety_hold,resolved toxicity with sufficient safety evidence should authorize resumption rather than unnecessary continued holding,toxicity_resolution; functional_recovery; safety_labs; clinical_stability,False,True,False,False,False,True
permissive,OGR_TRJ_023,Safe resumption after resolved toxicity,2,escalate_evaluation,continue_therapy,missing_critical_evidence,unresolved_needs_more_evidence,resolved toxicity with sufficient safety evidence should authorize resumption rather than unnecessary continued holding,toxicity_resolution; functional_recovery; safety_labs; clinical_stability,True,False,False,True,False,False
standard,OGR_TRJ_023,Safe resumption after resolved toxicity,2,escalate_evaluation,escalate_evaluation,missing_critical_evidence,unresolved_needs_more_evidence,resolved toxicity with sufficient safety evidence should authorize resumption rather than unnecessary continued holding,toxicity_resolution; functional_recovery; safety_labs; clinical_stability,False,True,True,False,False,True
conservative,OGR_TRJ_023,Safe resumption after resolved toxicity,2,escalate_evaluation,escalate_evaluation,missing_critical_evidence,unresolved_needs_more_evidence,resolved toxicity with sufficient safety evidence should authorize resumption rather than unnecessary continued holding,toxicity_resolution; functional_recovery; safety_labs; clinical_stability,False,True,True,False,False,True
permissive,OGR_TRJ_023,Safe resumption after resolved toxicity,3,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,resolved toxicity with sufficient safety evidence should authorize resumption rather than unnecessary continued holding,toxicity_resolution; functional_recovery; safety_labs; clinical_stability,False,True,False,False,False,True
standard,OGR_TRJ_023,Safe resumption after resolved toxicity,3,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,resolved toxicity with sufficient safety evidence should authorize resumption rather than unnecessary continued holding,toxicity_resolution; functional_recovery; safety_labs; clinical_stability,False,True,False,False,False,True
conservative,OGR_TRJ_023,Safe resumption after resolved toxicity,3,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,resolved toxicity with sufficient safety evidence should authorize resumption rather than unnecessary continued holding,toxicity_resolution; functional_recovery; safety_labs; clinical_stability,False,True,False,False,False,True
